,0,Team,Team,CleanedBlurb
168,"
Arena: 
    Talking Stick Resort Arena
  

  
    Attendance:
    627,023 (29th of 30)
  
",PHO,Phoenix Suns,"Arena: Talking Stick Resort Arena Attendance: 627,023 (29th of 30)"
170,"
Record:
    
      39-43, Finished 9th in NBA 
     Western Conference    
    
    
    
    
",SAC,Sacramento Kings,"Record: 39-43, Finished 9th in NBA Western Conference"
171,Coach: Dave Joerger (39-43),SAC,Sacramento Kings,Coach: Dave Joerger (39-43)
172,Executive: Vlade Divac,SAC,Sacramento Kings,Executive: Vlade Divac
173,"
PTS/G: 
      114.2 (9th of 30)
      Opp PTS/G: 
      115.3 (26th of 30)
    ",SAC,Sacramento Kings,PTS/G: 114.2 (9th of 30) Opp PTS/G: 115.3 (26th of 30)
174,"
SRS: -0.81 (18th of 30)
      
      Pace: 103.1 (5th of 30)
    ",SAC,Sacramento Kings,SRS: -0.81 (18th of 30) Pace: 103.1 (5th of 30)
175,"
Off Rtg: 110.4 (16th of 30)
      Def Rtg: 111.5 (20th of 30)
    ",SAC,Sacramento Kings,Off Rtg: 110.4 (16th of 30) Def Rtg: 111.5 (20th of 30)
176,"
Expected W-L: 38-44 (18th of 30)
    ",SAC,Sacramento Kings,Expected W-L: 38-44 (18th of 30)
177,"
Preseason Odds:
Championship +200000, Over-Under 
            26.0
          
",SAC,Sacramento Kings,"Preseason Odds: Championship +200000, Over-Under 26.0"
178,"
Arena: 
    Golden 1 Center
  

  
    Attendance:
    700,975 (21st of 30)
  
",SAC,Sacramento Kings,"Arena: Golden 1 Center Attendance: 700,975 (21st of 30)"
180,"
Record:
    
      41-41, Finished 8th in NBA 
     Eastern Conference    
    
    
    
    
",DET,Detroit Pistons,"Record: 41-41, Finished 8th in NBA Eastern Conference"
181,Coach: Dwane Casey (41-41),DET,Detroit Pistons,Coach: Dwane Casey (41-41)
182,Executive: Ed Stefanski,DET,Detroit Pistons,Executive: Ed Stefanski
183,"
PTS/G: 
      107.0 (25th of 30)
      Opp PTS/G: 
      107.3 (7th of 30)
    ",DET,Detroit Pistons,PTS/G: 107.0 (25th of 30) Opp PTS/G: 107.3 (7th of 30)
184,"
SRS: -0.56 (17th of 30)
      
      Pace: 97.4 (28th of 30)
    ",DET,Detroit Pistons,SRS: -0.56 (17th of 30) Pace: 97.4 (28th of 30)
185,"
Off Rtg: 109.0 (21st of 30)
      Def Rtg: 109.2 (11th of 30)
    ",DET,Detroit Pistons,Off Rtg: 109.0 (21st of 30) Def Rtg: 109.2 (11th of 30)
186,"
Expected W-L: 40-42 (17th of 30)
    ",DET,Detroit Pistons,Expected W-L: 40-42 (17th of 30)
187,"
Preseason Odds:
Championship +35000, Over-Under 
            38.5
          
",DET,Detroit Pistons,"Preseason Odds: Championship +35000, Over-Under 38.5"
188,"
Arena: 
    Little Caesars Arena
  

  
    Attendance:
    675,963 (24th of 30)
  
",DET,Detroit Pistons,"Arena: Little Caesars Arena Attendance: 675,963 (24th of 30)"
189,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (0-4) versus Milwaukee Bucks
 (Series Stats)",DET,Detroit Pistons,NBA 2019 Playoffs: Lost NBA Eastern Conference First Round (0-4) versus Milwaukee Bucks  
190,"
Record:
    
      36-46, Finished 11th in NBA 
     Western Conference    
    
    
    
    
",MIN,Minnesota Timberwolves,"Record: 36-46, Finished 11th in NBA Western Conference"
191,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)",MIN,Minnesota Timberwolves,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)"
192,"Executive: Tom Thibodeau, Scott Layden",MIN,Minnesota Timberwolves,"Executive: Tom Thibodeau, Scott Layden"
193,"
PTS/G: 
      112.5 (13th of 30)
      Opp PTS/G: 
      114.0 (23rd of 30)
    ",MIN,Minnesota Timberwolves,PTS/G: 112.5 (13th of 30) Opp PTS/G: 114.0 (23rd of 30)
194,"
SRS: -1.02 (20th of 30)
      
      Pace: 100.2 (14th of 30)
    ",MIN,Minnesota Timberwolves,SRS: -1.02 (20th of 30) Pace: 100.2 (14th of 30)
195,"
Off Rtg: 111.4 (11th of 30)
      Def Rtg: 112.9 (24th of 30)
    ",MIN,Minnesota Timberwolves,Off Rtg: 111.4 (11th of 30) Def Rtg: 112.9 (24th of 30)
196,"
Expected W-L: 37-45 (22nd of 30)
    ",MIN,Minnesota Timberwolves,Expected W-L: 37-45 (22nd of 30)
197,"
Preseason Odds:
Championship +25000, Over-Under 
            41.5
          
",MIN,Minnesota Timberwolves,"Preseason Odds: Championship +25000, Over-Under 41.5"
198,"
Arena: 
    Target Center
  

  
    Attendance:
    627,543 (28th of 30)
  
",MIN,Minnesota Timberwolves,"Arena: Target Center Attendance: 627,543 (28th of 30)"
200,"
Record:
    
      53-29, Finished 3rd in NBA 
     Western Conference    
    
    
    
    
",POR,Portland Trail Blazers,"Record: 53-29, Finished 3rd in NBA Western Conference"
201,Coach: Terry Stotts (53-29),POR,Portland Trail Blazers,Coach: Terry Stotts (53-29)
202,Executive: Neil Olshey,POR,Portland Trail Blazers,Executive: Neil Olshey
203,"
PTS/G: 
      114.7 (6th of 30)
      Opp PTS/G: 
      110.5 (14th of 30)
    ",POR,Portland Trail Blazers,PTS/G: 114.7 (6th of 30) Opp PTS/G: 110.5 (14th of 30)
204,"
SRS: 4.43 (6th of 30)
      
      Pace: 99.1 (18th of 30)
    ",POR,Portland Trail Blazers,SRS: 4.43 (6th of 30) Pace: 99.1 (18th of 30)
205,"
Off Rtg: 114.7 (3rd of 30)
      Def Rtg: 110.5 (16th of 30)
    ",POR,Portland Trail Blazers,Off Rtg: 114.7 (3rd of 30) Def Rtg: 110.5 (16th of 30)
206,"
Expected W-L: 51-31 (7th of 30)
    ",POR,Portland Trail Blazers,Expected W-L: 51-31 (7th of 30)
207,"
Preseason Odds:
Championship +30000, Over-Under 
            42.0
          
",POR,Portland Trail Blazers,"Preseason Odds: Championship +30000, Over-Under 42.0"
208,"
Arena: 
    Moda Center
  

  
    Attendance:
    799,345 (7th of 30)
  
",POR,Portland Trail Blazers,"Arena: Moda Center Attendance: 799,345 (7th of 30)"
209,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-1) versus Oklahoma City Thunder
 (Series Stats)Won NBA Western Conference Semifinals (4-3) versus Denver Nuggets
 (Series Stats)Lost NBA Western Conference Finals (0-4) versus Golden State Warriors
 (Series Stats)",POR,Portland Trail Blazers,NBA 2019 Playoffs: Won NBA Western Conference First Round (4-1) versus Oklahoma City Thunder  Won NBA Western Conference Semifinals (4-3) versus Denver Nuggets  Lost NBA Western Conference Finals (0-4) versus Golden State Warriors  
210,"
Record:
    
      22-60, Finished 13th in NBA 
     Eastern Conference    
    
    
    
    
",CHI,Chicago Bulls,"Record: 22-60, Finished 13th in NBA Eastern Conference"
211,"Coach: Fred Hoiberg (5-19), Jim Boylen (17-41)",CHI,Chicago Bulls,"Coach: Fred Hoiberg (5-19), Jim Boylen (17-41)"
212,Executive: Gar Forman,CHI,Chicago Bulls,Executive: Gar Forman
213,"
PTS/G: 
      104.9 (27th of 30)
      Opp PTS/G: 
      113.4 (20th of 30)
    ",CHI,Chicago Bulls,PTS/G: 104.9 (27th of 30) Opp PTS/G: 113.4 (20th of 30)
214,"
SRS: -8.32 (27th of 30)
      
      Pace: 99.0 (19th of 30)
    ",CHI,Chicago Bulls,SRS: -8.32 (27th of 30) Pace: 99.0 (19th of 30)
215,"
Off Rtg: 104.8 (29th of 30)
      Def Rtg: 113.2 (25th of 30)
    ",CHI,Chicago Bulls,Off Rtg: 104.8 (29th of 30) Def Rtg: 113.2 (25th of 30)
216,"
Expected W-L: 21-61 (27th of 30)
    ",CHI,Chicago Bulls,Expected W-L: 21-61 (27th of 30)
217,"
Preseason Odds:
Championship +50000, Over-Under 
            30.0
          
",CHI,Chicago Bulls,"Preseason Odds: Championship +50000, Over-Under 30.0"
218,"
Arena: 
    United Center
  

  
    Attendance:
    823,475 (2nd of 30)
  
",CHI,Chicago Bulls,"Arena: United Center Attendance: 823,475 (2nd of 30)"
220,"
Record:
    
      48-34, Finished 7th in NBA 
     Western Conference    
    
    
    
    
",SAS,San Antonio Spurs,"Record: 48-34, Finished 7th in NBA Western Conference"
221,Coach: Gregg Popovich (48-34),SAS,San Antonio Spurs,Coach: Gregg Popovich (48-34)
222,Executive: R.C. Buford,SAS,San Antonio Spurs,Executive: R.C. Buford
223,"
PTS/G: 
      111.7 (18th of 30)
      Opp PTS/G: 
      110.0 (12th of 30)
    ",SAS,San Antonio Spurs,PTS/G: 111.7 (18th of 30) Opp PTS/G: 110.0 (12th of 30)
224,"
SRS: 1.80 (12th of 30)
      
      Pace: 98.3 (22nd of 30)
    ",SAS,San Antonio Spurs,SRS: 1.80 (12th of 30) Pace: 98.3 (22nd of 30)
225,"
Off Rtg: 112.9 (7th of 30)
      Def Rtg: 111.2 (19th of 30)
    ",SAS,San Antonio Spurs,Off Rtg: 112.9 (7th of 30) Def Rtg: 111.2 (19th of 30)
226,"
Expected W-L: 45-37 (12th of 30)
    ",SAS,San Antonio Spurs,Expected W-L: 45-37 (12th of 30)
227,"
Preseason Odds:
Championship +10000, Over-Under 
            43.5
          
",SAS,San Antonio Spurs,"Preseason Odds: Championship +10000, Over-Under 43.5"
228,"
Arena: 
    AT&T Center
  

  
    Attendance:
    750,616 (13th of 30)
  
",SAS,San Antonio Spurs,"Arena: AT&T Center Attendance: 750,616 (13th of 30)"
229,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (3-4) versus Denver Nuggets
 (Series Stats)",SAS,San Antonio Spurs,NBA 2019 Playoffs: Lost NBA Western Conference First Round (3-4) versus Denver Nuggets  
230,"
Record:
    
      33-49, Finished 12th in NBA 
     Western Conference    
    
    
    
    
",MEM,Memphis Grizzlies,"Record: 33-49, Finished 12th in NBA Western Conference"
231,Coach: J.B. Bickerstaff (33-49),MEM,Memphis Grizzlies,Coach: J.B. Bickerstaff (33-49)
232,Executive: Chris Wallace,MEM,Memphis Grizzlies,Executive: Chris Wallace
233,"
PTS/G: 
      103.5 (30th of 30)
      Opp PTS/G: 
      106.1 (3rd of 30)
    ",MEM,Memphis Grizzlies,PTS/G: 103.5 (30th of 30) Opp PTS/G: 106.1 (3rd of 30)
234,"
SRS: -2.08 (24th of 30)
      
      Pace: 96.6 (30th of 30)
    ",MEM,Memphis Grizzlies,SRS: -2.08 (24th of 30) Pace: 96.6 (30th of 30)
235,"
Off Rtg: 106.1 (27th of 30)
      Def Rtg: 108.8 (9th of 30)
    ",MEM,Memphis Grizzlies,Off Rtg: 106.1 (27th of 30) Def Rtg: 108.8 (9th of 30)
236,"
Expected W-L: 34-48 (24th of 30)
    ",MEM,Memphis Grizzlies,Expected W-L: 34-48 (24th of 30)
237,"
Preseason Odds:
Championship +65000, Over-Under 
            34.5
          
",MEM,Memphis Grizzlies,"Preseason Odds: Championship +65000, Over-Under 34.5"
238,"
Arena: 
    FedEx Forum
  

  
    Attendance:
    638,332 (26th of 30)
  
",MEM,Memphis Grizzlies,"Arena: FedEx Forum Attendance: 638,332 (26th of 30)"
240,"
Record:
    
      32-50, Finished 11th in NBA 
     Eastern Conference    
    
    
    
    
",WAS,Washington Wizards,"Record: 32-50, Finished 11th in NBA Eastern Conference"
241,Coach: Scott Brooks (32-50),WAS,Washington Wizards,Coach: Scott Brooks (32-50)
242,"Executive: Ernie Grunfeld, Tommy Sheppard",WAS,Washington Wizards,"Executive: Ernie Grunfeld, Tommy Sheppard"
243,"
PTS/G: 
      114.0 (10th of 30)
      Opp PTS/G: 
      116.9 (29th of 30)
    ",WAS,Washington Wizards,PTS/G: 114.0 (10th of 30) Opp PTS/G: 116.9 (29th of 30)
244,"
SRS: -3.30 (25th of 30)
      
      Pace: 101.4 (9th of 30)
    ",WAS,Washington Wizards,SRS: -3.30 (25th of 30) Pace: 101.4 (9th of 30)
245,"
Off Rtg: 111.1 (14th of 30)
      Def Rtg: 113.9 (28th of 30)
    ",WAS,Washington Wizards,Off Rtg: 111.1 (14th of 30) Def Rtg: 113.9 (28th of 30)
246,"
Expected W-L: 34-48 (25th of 30)
    ",WAS,Washington Wizards,Expected W-L: 34-48 (25th of 30)
247,"
Preseason Odds:
Championship +11000, Over-Under 
            45.5
          
",WAS,Washington Wizards,"Preseason Odds: Championship +11000, Over-Under 45.5"
248,"
Arena: 
    Capital One Arena
  

  
    Attendance:
    716,996 (19th of 30)
  
",WAS,Washington Wizards,"Arena: Capital One Arena Attendance: 716,996 (19th of 30)"
250,"
Record:
    
      29-53, Finished 12th in NBA 
     Eastern Conference    
    
    
    
    
",ATL,Atlanta Hawks,"Record: 29-53, Finished 12th in NBA Eastern Conference"
251,Coach: Lloyd Pierce (29-53),ATL,Atlanta Hawks,Coach: Lloyd Pierce (29-53)
252,Executive: Travis Schlenk,ATL,Atlanta Hawks,Executive: Travis Schlenk
253,"
PTS/G: 
      113.3 (12th of 30)
      Opp PTS/G: 
      119.4 (30th of 30)
    ",ATL,Atlanta Hawks,PTS/G: 113.3 (12th of 30) Opp PTS/G: 119.4 (30th of 30)
254,"
SRS: -6.06 (26th of 30)
      
      Pace: 103.9 (1st of 30)
    ",ATL,Atlanta Hawks,SRS: -6.06 (26th of 30) Pace: 103.9 (1st of 30)
255,"
Off Rtg: 108.1 (23rd of 30)
      Def Rtg: 113.9 (27th of 30)
    ",ATL,Atlanta Hawks,Off Rtg: 108.1 (23rd of 30) Def Rtg: 113.9 (27th of 30)
256,"
Expected W-L: 27-55 (26th of 30)
    ",ATL,Atlanta Hawks,Expected W-L: 27-55 (26th of 30)
257,"
Preseason Odds:
Championship +150000, Over-Under 
            23.5
          
",ATL,Atlanta Hawks,"Preseason Odds: Championship +150000, Over-Under 23.5"
258,"
Arena: 
    State Farm Arena
  

  
    Attendance:
    628,440 (27th of 30)
  
",ATL,Atlanta Hawks,"Arena: State Farm Arena Attendance: 628,440 (27th of 30)"
260,"
Record:
    
      33-49, Finished 13th in NBA 
     Western Conference    
    
    
    
    
",NOP,New Orleans Pelicans,"Record: 33-49, Finished 13th in NBA Western Conference"
261,Coach: Alvin Gentry (33-49),NOP,New Orleans Pelicans,Coach: Alvin Gentry (33-49)
262,"Executive: Dell Demps, Danny Ferry",NOP,New Orleans Pelicans,"Executive: Dell Demps, Danny Ferry"
263,"
PTS/G: 
      115.4 (3rd of 30)
      Opp PTS/G: 
      116.8 (27th of 30)
    ",NOP,New Orleans Pelicans,PTS/G: 115.4 (3rd of 30) Opp PTS/G: 116.8 (27th of 30)
264,"
SRS: -1.10 (21st of 30)
      
      Pace: 103.3 (3rd of 30)
    ",NOP,New Orleans Pelicans,SRS: -1.10 (21st of 30) Pace: 103.3 (3rd of 30)
265,"
Off Rtg: 111.4 (13th of 30)
      Def Rtg: 112.6 (23rd of 30)
    ",NOP,New Orleans Pelicans,Off Rtg: 111.4 (13th of 30) Def Rtg: 112.6 (23rd of 30)
266,"
Expected W-L: 38-44 (20th of 30)
    ",NOP,New Orleans Pelicans,Expected W-L: 38-44 (20th of 30)
267,"
Preseason Odds:
Championship +10000, Over-Under 
            45.5
          
",NOP,New Orleans Pelicans,"Preseason Odds: Championship +10000, Over-Under 45.5"
268,"
Arena: 
    Smoothie King Center
  

  
    Attendance:
    656,183 (25th of 30)
  
",NOP,New Orleans Pelicans,"Arena: Smoothie King Center Attendance: 656,183 (25th of 30)"
270,"
Record:
    
      19-63, Finished 14th in NBA 
     Eastern Conference    
    
    
    
    
",CLE,Cleveland Cavaliers,"Record: 19-63, Finished 14th in NBA Eastern Conference"
271,"Coach: Tyronn Lue (0-6), Larry Drew (19-57)",CLE,Cleveland Cavaliers,"Coach: Tyronn Lue (0-6), Larry Drew (19-57)"
272,Executive: Koby Altman,CLE,Cleveland Cavaliers,Executive: Koby Altman
273,"
PTS/G: 
      104.5 (29th of 30)
      Opp PTS/G: 
      114.1 (24th of 30)
    ",CLE,Cleveland Cavaliers,PTS/G: 104.5 (29th of 30) Opp PTS/G: 114.1 (24th of 30)
274,"
SRS: -9.39 (30th of 30)
      
      Pace: 96.6 (29th of 30)
    ",CLE,Cleveland Cavaliers,SRS: -9.39 (30th of 30) Pace: 96.6 (29th of 30)
275,"
Off Rtg: 107.7 (25th of 30)
      Def Rtg: 117.6 (30th of 30)
    ",CLE,Cleveland Cavaliers,Off Rtg: 107.7 (25th of 30) Def Rtg: 117.6 (30th of 30)
276,"
Expected W-L: 19-63 (30th of 30)
    ",CLE,Cleveland Cavaliers,Expected W-L: 19-63 (30th of 30)
277,"
Preseason Odds:
Championship +50000, Over-Under 
            30.5
          
",CLE,Cleveland Cavaliers,"Preseason Odds: Championship +50000, Over-Under 30.5"
278,"
Arena: 
    Quicken Loans Arena
  

  
    Attendance:
    793,337 (8th of 30)
  
",CLE,Cleveland Cavaliers,"Arena: Quicken Loans Arena Attendance: 793,337 (8th of 30)"
280,"
Record:
    
      57-25, Finished 1st in NBA 
     Western Conference    
    
    
    
    
",GSW,Golden State Warriors,"Record: 57-25, Finished 1st in NBA Western Conference"
281,Coach: Steve Kerr (57-25),GSW,Golden State Warriors,Coach: Steve Kerr (57-25)
282,Executive: Bob Myers,GSW,Golden State Warriors,Executive: Bob Myers
283,"
PTS/G: 
      117.7 (2nd of 30)
      Opp PTS/G: 
      111.2 (16th of 30)
    ",GSW,Golden State Warriors,PTS/G: 117.7 (2nd of 30) Opp PTS/G: 111.2 (16th of 30)
284,"
SRS: 6.42 (2nd of 30)
      
      Pace: 100.9 (10th of 30)
    ",GSW,Golden State Warriors,SRS: 6.42 (2nd of 30) Pace: 100.9 (10th of 30)
285,"
Off Rtg: 115.9 (1st of 30)
      Def Rtg: 109.5 (13th of 30)
    ",GSW,Golden State Warriors,Off Rtg: 115.9 (1st of 30) Def Rtg: 109.5 (13th of 30)
286,"
Expected W-L: 56-26 (2nd of 30)
    ",GSW,Golden State Warriors,Expected W-L: 56-26 (2nd of 30)
287,"
Preseason Odds:
Championship -168, Over-Under 
            62.5
          
",GSW,Golden State Warriors,"Preseason Odds: Championship -168, Over-Under 62.5"
288,"
Arena: 
    Oracle Arena
  

  
    Attendance:
    803,436 (6th of 30)
  
",GSW,Golden State Warriors,"Arena: Oracle Arena Attendance: 803,436 (6th of 30)"
289,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-2) versus Los Angeles Clippers
 (Series Stats)Won NBA Western Conference Semifinals (4-2) versus Houston Rockets
 (Series Stats)Won NBA Western Conference Finals (4-0) versus Portland Trail Blazers
 (Series Stats)Lost NBA Finals (2-4) versus Toronto Raptors
 (Series Stats)",GSW,Golden State Warriors,NBA 2019 Playoffs: Won NBA Western Conference First Round (4-2) versus Los Angeles Clippers  Won NBA Western Conference Semifinals (4-2) versus Houston Rockets  Won NBA Western Conference Finals (4-0) versus Portland Trail Blazers  Lost NBA Finals (2-4) versus Toronto Raptors  
290,"
Record:
    
      17-65, Finished 15th in NBA 
     Eastern Conference    
    
    
    
    
",NYK,New York Knicks,"Record: 17-65, Finished 15th in NBA Eastern Conference"
291,Coach: David Fizdale (17-65),NYK,New York Knicks,Coach: David Fizdale (17-65)
292,Executive: Steve Mills,NYK,New York Knicks,Executive: Steve Mills
293,"
PTS/G: 
      104.6 (28th of 30)
      Opp PTS/G: 
      113.8 (22nd of 30)
    ",NYK,New York Knicks,PTS/G: 104.6 (28th of 30) Opp PTS/G: 113.8 (22nd of 30)
294,"
SRS: -8.93 (29th of 30)
      
      Pace: 99.6 (17th of 30)
    ",NYK,New York Knicks,SRS: -8.93 (29th of 30) Pace: 99.6 (17th of 30)
295,"
Off Rtg: 104.5 (30th of 30)
      Def Rtg: 113.7 (26th of 30)
    ",NYK,New York Knicks,Off Rtg: 104.5 (30th of 30) Def Rtg: 113.7 (26th of 30)
296,"
Expected W-L: 19-63 (29th of 30)
    ",NYK,New York Knicks,Expected W-L: 19-63 (29th of 30)
297,"
Preseason Odds:
Championship +35000, Over-Under 
            28.5
          
",NYK,New York Knicks,"Preseason Odds: Championship +35000, Over-Under 28.5"
298,"
Arena: 
    Madison Square Garden (IV)
  

  
    Attendance:
    779,087 (9th of 30)
  
",NYK,New York Knicks,"Arena: Madison Square Garden (IV) Attendance: 779,087 (9th of 30)"
